ID,NOM_TOPOGRAPHIE,VILLE,ARRONDISSEMENT,ID_VOIE_PUBLIQUE,LATITUDE,LONGITUDE
18243,Chemin Sainte-Foy,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.769922463322565,-71.32520768066789
7906,Rue Prénoveau,Québec,Charlesbourg,123980,46.8951762649576,-71.30306502102472
2825,Avenue Conway,Québec,La Cité-Limoilou,101643,46.832572068949965,-71.22735339350113
7016,Rue Léo-T.-Julien,Québec,Charlesbourg,125383,46.934187752681844,-71.31772188655094
3548,Rue Désilets,Québec,La Cité-Limoilou,101809,46.84936528138712,-71.23125420656828
14016,Boulevard Sainte-Anne,Québec,Beauport,126401,46.85359532432472,-71.19471068614982
775,Avenue de Guyenne,Québec,La Cité-Limoilou,102508,46.82701214274934,-71.24157687706337
7640,Avenue Rabelais,Québec,Charlesbourg,122954,46.86637978177179,-71.25103837696471
11616,Rue Constantin,Québec,La Haute-Saint-Charles,132692,46.848344234840596,-71.41493630668128
3547,Rue Le Droit,Québec,La Cité-Limoilou,101876,46.84978048662389,-71.23184872841559
8769,Rue Douglas,Québec,Charlesbourg,123968,46.89498643525511,-71.30749489392666
1793,Avenue Marivaux,Québec,Les Rivières,103329,46.81226683851941,-71.31877449818819
2664,Rue du Camélia,Québec,La Haute-Saint-Charles,101009,46.841200357196584,-71.3676788786687
10315,Rue Gaudar,Québec,La Haute-Saint-Charles,145886,46.84949931963154,-71.45430048505881
13594,Rue de Sologne,Québec,Charlesbourg,120956,46.864042009027585,-71.24881052941915
18653,Chemin Sainte-Foy,Québec,Sainte-Foy–Sillery–Cap-Rouge,120407,46.77631503588346,-71.3090191127537
10908,Rue Beaucage,Québec,Les Rivières,113844,46.81735894784159,-71.25750740675508
60249,Avenue Fournier,Québec,Sainte-Foy–Sillery–Cap-Rouge,118386,46.77174437047759,-71.29096498495004
10076,Rue des Trente-Arpents,Québec,La Haute-Saint-Charles,118879,46.9050656778217,-71.37180623523105
11949,Rue Van Gogh,Québec,La Haute-Saint-Charles,147608,46.8814488739884,-71.3349974207197
19929,Chemin Sainte-Foy,Québec,Sainte-Foy–Sillery–Cap-Rouge,,46.78681814237312,-71.28293991618109
10851,Avenue Bélanger,Québec,Les Rivières,113881,46.815791683524075,-71.25790437800663
1797,Boulevard Masson,Québec,Les Rivières,103364,46.81153293791868,-71.3217419651077
12847,Avenue du Costebelle,Québec,Les Rivières,101659,46.82292193393551,-71.33703348071478
10910,Avenue Bélanger,Québec,Les Rivières,113846,46.8169007452234,-71.25892758340011
18710,Avenue Nérée-Tremblay,Québec,Sainte-Foy–Sillery–Cap-Rouge,118740,46.790569944504135,-71.28321938127056
12844,Avenue du Costebelle,Québec,Les Rivières,101658,46.824312370488755,-71.33402065078178
2138,Rue de l'Islet,Québec,Les Rivières,102697,46.83769027703751,-71.29506094402541
42964,Rue des Pionnières-de-Beauport,Québec,Beauport,200589,46.87037243238736,-71.16721303120687
1488,Boulevard Valcartier,Québec,La Haute-Saint-Charles,,46.88640952234437,-71.40191093928247
6043,Boulevard Sainte-Anne,Québec,Beauport,127465,46.873514175317545,-71.15818141952427
4752,Rue de l'Alaska,Québec,Beauport,126162,46.90130903639049,-71.20561740955588
5928,Boulevard Sainte-Anne,Québec,Beauport,130063,46.85603287825504,-71.18475432930225
6769,Rue Duportail,Québec,Beauport,128129,46.89869770586276,-71.17105456535758
13256,Rue Boiselle,Québec,Beauport,126845,46.905278516927204,-71.19233344945789
167587,Rue Jérémie-Fortin,Québec,La Cité-Limoilou,,46.837571862656056,-71.23282607663434
19189,Rue du Mont-Marie,Québec,Sainte-Foy–Sillery–Cap-Rouge,117936,46.76554109477755,-71.27168964813332
1744,Boulevard Henri-Bourassa,Québec,La Cité-Limoilou,,46.83162440876284,-71.20992251502781
59609,Avenue Oak,Québec,Sainte-Foy–Sillery–Cap-Rouge,116248,46.781336035178235,-71.25395098102837
7027,Chemin de Château-Bigot,Québec,Charlesbourg,124730,46.89111810557254,-71.26127262408869
74976,Rue de la Fenaison,Québec,Beauport,137187,46.877285149709365,-71.20668593342192
9330,Rue du Gallion-du-Roy,Québec,Sainte-Foy–Sillery–Cap-Rouge,147706,46.748219158807984,-71.34911241332443
6376,Avenue Saint-Samuel,Québec,Beauport,126824,46.856174939259525,-71.232999394335
9248,Rue de la Promenade-des-Soeurs,Québec,Sainte-Foy–Sillery–Cap-Rouge,114180,46.7492024373446,-71.36965584464211
